ROUTE_ID,STOP_ID,ROUTE_NAME,STOP_NAME,OBJECTID,x,y
4641,14007089,Flagstaff North,"127 Peachgrove Rd, Hamilton",1260,1802392.0013,5815956.8922
4616,14007091,Rototuna,"1149 Heaphy Tce, Hamilton",1261,1800792.3521,5817739.0241
9022,14007091,Flagstaff,"1149 Heaphy Tce, Hamilton",1262,1800792.3521,5817739.0241
4610,14007100,University,"32 Te Aroha St, Hamilton",1263,1801708.0425,5815872.8839
4622,14007116,Pukete,"57 Vercoe Rd, Hamilton",1264,1799192.9874,5817929.7556
3771,14007118,Orbiter,"99A Whatawhata Rd, Hamilton",1265,1797445.3933,5814434.8731
4638,14007118,Dinsdale,"99A Whatawhata Rd, Hamilton",1266,1797445.3933,5814434.8731
4606,14007141,Fairfield,"94B Bankwood Rd, Hamilton",1267,1800585.8058,5818454.9063
4616,14007141,Rototuna,"94B Bankwood Rd, Hamilton",1268,1800585.8058,5818454.9063
9022,14007141,Flagstaff,"94B Bankwood Rd, Hamilton",1269,1800585.8058,5818454.9063
9032,14007141,Rototuna Circular,"94B Bankwood Rd, Hamilton",1270,1800585.8058,5818454.9063
4606,14007154,Fairfield,"10A Mardon Rd, Hamilton",1271,1801814.6757,5817534.0462
4622,14007159,Pukete,"61 Sandwich Rd, Hamilton",1272,1798740.1617,5819211.5873
19537,14007168,Meteor,"Opp 60 Silverdale Rd, Hamilton",1273,1805143.7475,5814466.4839
4618,14007168,Hamilton Gardens Uni,"Opp 60 Silverdale Rd, Hamilton",1274,1805143.7475,5814466.4839
3771,14007175,Orbiter,"107 Newcastle Rd, Hamilton",1275,1796819.6228,5815162.8094
4638,14007175,Dinsdale,"107 Newcastle Rd, Hamilton",1276,1796819.6228,5815162.8094
4608,14007181,Fitzroy,"Opp 78 Alison St, Hamilton (Gower Park)",1277,1799961.219,5813121.7374
4606,14007187,Fairfield,"127 Comries Rd, Hamilton",1278,1800650.04,5819235.5865
4616,14007187,Rototuna,"127 Comries Rd, Hamilton",1279,1800650.04,5819235.5865
9022,14007187,Flagstaff,"127 Comries Rd, Hamilton",1280,1800650.04,5819235.5865
9032,14007187,Rototuna Circular,"127 Comries Rd, Hamilton",1281,1800650.04,5819235.5865
4622,14007263,Pukete,"76 Tōtara Dr, Hamilton",1282,1798043.6085,5820264.2959
