WKT,SA22019_V1_00,SA22019_V1_00_NAME,LAND_AREA_SQ_KM,AREA_SQ_KM,LATITUDE,LONGITUDE,EASTING,NORTHING,Shape_X,Shape_Y
"POINT (1668455.86825 6110314.14085)",101900,Kaeo,255.55967669,255.55967669,-35.14774290439055,173.75153370650955,1668455.8682459588,6110314.14085,1668455.86825,6110314.14085
"POINT (1658010.2205 6095666.35055)",102000,Omahuta Forest-Horeke,463.52160353,463.52160353,-35.28047259563025,173.6378967925505,1658010.22047537,6095666.35055,1658010.2205,6095666.35055
"POINT (1644135.06215 6074491.3699)",102100,Hokianga South,126.08930327,126.08930327,-35.47210627400057,173.48647184964253,1644135.0621500034,6074491.3699186295,1644135.06215,6074491.3699
"POINT (1681051.1927 6107295.13775)",102200,Lake Manuwai-Kapiro,59.07330644,59.07330644,-35.174026107445975,173.89009262657268,1681051.1926982016,6107295.13775,1681051.1927,6107295.13775
"POINT (1672231.672 6094330.8378)",102300,Okaihau,147.59030098,160.01973675,-35.291588132027016,173.79438543728966,1672231.6719999993,6094330.837815256,1672231.672,6094330.8378
"POINT (1685976.6745 6109964.6277)",102400,Rangitane-Purerua,123.18610996,123.18610996,-35.149548533934095,173.94389909951548,1685976.6744965478,6109964.6276999945,1685976.6745,6109964.6277
"POINT (1683756.62075 6103919.61045)",102500,Waipapa,9.16015913,9.16015913,-35.204237890960634,173.92014295665908,1683756.6207601223,6103919.61045,1683756.62075,6103919.61045
"POINT (1682353.59315 6098470.1165)",102600,Puketotara,55.26374103,55.26374103,-35.253486520096686,173.90527677347785,1682353.5931499996,6098470.116478177,1682353.59315,6098470.1165
"POINT (1657382.0038 6072857.5181)",102700,Waima Forest,236.99516982,236.99516982,-35.486160554343414,173.63259257257644,1657382.0037890677,6072857.5181,1657382.0038,6072857.5181
"POINT (1686981.84735 6103470.4593)",102800,Riverview,6.21892511,6.21892511,-35.20801296224995,173.95561815484916,1686981.8473437647,6103470.4593,1686981.84735,6103470.4593
"POINT (1648764.8901 6061968.81185)",102900,Waipoua Forest,277.80889901,277.80889901,-35.58479636961367,173.53825499410135,1648764.8900983015,6061968.81185,1648764.8901,6061968.81185
"POINT (1686261.2586 6101586.1519)",103000,Kerikeri Central,3.71173616,3.71173616,-35.22506387446336,173.94789993739352,1686261.2585789887,6101586.151899999,1686261.2586,6101586.1519
"POINT (1686475.4134 6100293.9957)",103100,Kerikeri South,15.46843997,15.46843997,-35.23669531659625,173.95038879933875,1686475.4133785698,6100293.9957,1686475.4134,6100293.9957
"POINT (1678300.88835 6090300.0814)",103200,Ohaeawai-Waimate North,87.38799783,87.38799783,-35.327472504860665,173.861511910442,1678300.88835,6090300.081378546,1678300.88835,6090300.0814
"POINT (1690136.23615 6096356.86995)",103300,Puketona-Waitangi,156.40927377,156.40927377,-35.271868721088936,173.99104900068883,1690136.2361500005,6096356.869971026,1690136.23615,6096356.86995
"POINT (1674792.6375 6080417.18725)",103400,Ngapuhi,175.3850347,175.3850347,-35.41684508396423,173.823820781439,1674792.6375000002,6080417.187251595,1674792.6375,6080417.18725
"POINT (1672339.5477 6081345.0678)",103500,Kaikohe,5.67503598,5.67503598,-35.40866063894452,173.7967206780364,1672339.5477000012,6081345.067817988,1672339.5477,6081345.0678
"POINT (1688029.48715 6086542.47065)",103600,Pakaraka,72.35973496,72.35973496,-35.36053970537205,173.9689431664439,1688029.4871366234,6086542.470649999,1688029.48715,6086542.47065
"POINT (1695228.1802 6095454.66695)",103700,Haruru,1.52723246,1.52723246,-35.27953102095838,174.04713157378487,1695228.1802158882,6095454.66695,1695228.1802,6095454.66695
"POINT (1702298.50365 6097713.1002)",103800,Russell,3.27930242,3.27930242,-35.25847269017139,174.1245827147888,1702298.5036499999,6097713.10019217,1702298.50365,6097713.1002
"POINT (1699011.3766 6094961.2765)",103900,Paihia,2.24210093,2.24210093,-35.28361191633766,174.08878468160984,1699011.3765789615,6094961.2765,1699011.3766,6094961.2765
"POINT (1673645.5675 6066537.93105)",104000,Mataraua Forest,272.9270469,272.9270469,-35.54206345310216,173.81244542119032,1673645.567518214,6066537.93105,1673645.5675,6066537.93105
